Sample	Temp	Secchi_depth	Salinity_CTD	CHL	PO4	NH4	NO2	NO3	SI	Day_lenght	Size	Season_real	Month	Month_2	Year
JAN_04_P	14.0	14	37.9	1.06	0.22	0.29	0.28	1.53	1.80	9.80	P	WIN	1	JAN	2004
FEB_04_P	12.9	7	37.2	1.04	0.17	0.67	0.23	1.56	0.84	10.93	P	WIN	2	FEB	2004
MAR_04_P	12.9	12	37.2	1.13	0.19	0.28	0.28	2.82	2.47	12.23	P	WIN	3	MAR	2004
APR_04_P	12.6	6	35.9	1.36	0.16	1.47	0.36	2.51	6.07	13.51	P	SPRING	4	APR	2004
MAY_04_P	17.0	9	37.0	0.71	0.17	0.89	0.33	0.21	3.27	14.83	P	SPRING	5	MAY	2004
JUN_04_P	21.1	14	36.9	0.44	0.13	0.34	0.05	0.20	2.22	15.18	P	SPRING	6	JUN	2004
JUL_04_P	24.0	24	36.9	0.37	0.14	0.95	0.20	0.14	1.36	14.81	P	SUMMER	7	JUL	2004
AUG_04_P	24.5	17	37.2	NA	0.10	0.67	0.06	0.25	1.31	13.18	P	SUMMER	8	AUG	2004
SEP_04_P	21.3	15	37.7	0.68	0.09	0.48	0.05	0.18	1.38	11.86	P	SUMMER	9	SEP	2004
OCT_04_P	19.2	12	37.5	0.34	0.06	0.45	0.06	0.36	1.41	10.94	P	AUT	10	OCT	2004
NOV_04_P	16.0	11	36.8	0.71	0.21	1.03	1.02	0.37	1.78	9.81	P	AUT	11	NOV	2004
DEC_04_P	14.5	15.5	37.2	0.38	0.23	1.32	0.29	1.32	2.50	9.18	P	AUT	12	DEC	2004
JAN_05_P	13.0	19	37.0	0.51	0.24	1.14	0.22	1.05	2.56	9.61	P	WIN	1	JAN	2005
FEB_05_P	12.1	13	37.7	1.34	0.24	1.23	0.22	2.55	2.94	10.58	P	WIN	2	FEB	2005
MAR_05_P	12.4	20	37.9	0.67	0.42	1.53	0.15	6.81	7.06	11.58	P	WIN	3	MAR	2005
APR_05_P	13.0	18	37.7	2.03	0.29	2.13	0.43	3.30	3.35	13.20	P	SPRING	4	APR	2005
MAY_05_P	16.0	12.5	37.6	1.13	0.21	1.28	0.14	0.89	1.48	14.32	P	SPRING	5	MAY	2005
JUN_05_P	19.6	22	38.1	0.36	0.22	0.98	0.08	0.21	1.34	15.09	P	SPRING	6	JUN	2005
JUL_05_P	24.0	22	NA	0.11	0.23	1.44	0.06	0.22	1.76	15.12	P	SUMMER	7	JUL	2005
AUG_05_P	24.0	20	NA	0.02	0.21	0.93	0.01	0.14	1.52	14.37	P	SUMMER	8	AUG	2005
SEP_05_P	26.1	19	NA	0.27	0.19	1.20	0.02	0.27	1.29	12.64	P	SUMMER	9	SEP	2005
OCT_05_P	21.5	17	35.1	0.57	0.18	1.54	0.11	2.35	1.60	11.67	P	AUT	10	OCT	2005
NOV_05_P	17.9	12	37.1	0.75	0.21	2.16	0.84	2.48	1.81	10.14	P	AUT	11	NOV	2005
DEC_05_P	13.9	15	37.8	0.6	0.18	1.00	0.13	1.17	1.86	9.20	P	AUT	12	DEC	2005
JAN_06_P	12.6	14	38.3	0.63	0.21	1.00	0.18	2.12	2.68	9.37	P	WIN	1	JAN	2006
FEB_06_P	12.0	15	NA	0.54	0.22	0.49	0.15	2.26	2.42	10.25	P	WIN	2	FEB	2006
MAR_06_P	13.0	12.5	36.3	1.46	0.18	0.51	0.06	2.02	1.77	11.48	P	WIN	3	MAR	2006
APR_06_P	13.5	16	37.1	0.98	0.16	1.45	0.05	3.23	0.87	12.79	P	SPRING	4	APR	2006
MAY_06_P	18.4	10	37.1	2.45	0.10	1.05	0.14	0.54	0.13	14.53	P	SPRING	5	MAY	2006
JUN_06_P	22.4	12	35.6	0.43	0.14	1.75	0.31	0.51	0.38	15.16	P	SPRING	6	JUN	2006
JUL_06_P	23.7	15	37.7	0.21	0.02	1.37	0.05	0.60	0.05	15.12	P	SUMMER	7	JUL	2006
